id,popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
14375,0.387304,818418.0,4851244.0,Romanzo criminale,152,2005-09-30,56,6.9,2005,913815.4943924509,5416720.95955662
10476,0.37806999999999996,8000000.0,22201636.0,Hustle & Flow,116,2005-07-22,50,6.2,2005,8932506.31723595,24789531.7278716
546,0.374704,1000000.0,13350369.0,Transamerica,103,2005-12-23,65,6.5,2005,1116563.28965449,14906531.928741299
12142,0.370396,20000000.0,10442808.0,Alone in the Dark,96,2005-01-28,74,3.5,2005,22331265.7930898,11660056.0537102
8968,0.369596,20000000.0,67192859.0,Boogeyman,89,2005-02-04,91,4.5,2005,22331265.7930898,75025079.68633051
1826,0.367248,13000000.0,23727301.0,Les Poup̩es Russes,129,2005-06-15,106,6.7,2005,14515322.765508402,26493033.2591823
9042,0.332997,30000000.0,15007991.0,The Cave,97,2005-08-25,111,5.2,2005,33496898.689634804,16757371.802065
1833,0.33061799999999997,40000000.0,31670620.0,Rent,135,2005-11-23,89,6.5,2005,44662531.5861797,35362251.6525974
10707,0.326577,1500000.0,11098131.0,The Squid and the Whale,81,2005-10-05,118,6.7,2005,1674844.93448174,12391765.6583765
12228,0.290754,2000000.0,653621.0,Inside Deep Throat,92,2005-02-11,17,6.8,2005,2233126.57930898,729809.213947259
18882,0.287286,7500000.0,143000.0,Man-Thing,97,2005-04-21,15,3.9,2005,8374224.672408701,159668.550420592
16411,0.285062,1549000.0,7096000.0,Tau man ji D,107,2005-05-12,33,6.0,2005,1729556.53567481,7923133.10338828
10263,0.278997,4750000.0,206871.0,Tamara,98,2005-05-12,31,4.9,2005,5303675.62585884,230984.56429411398
2610,0.270403,10284523.0,11588205.0,Shopgirl,104,2005-10-21,31,5.8,2005,11483320.833407301,12938964.2959906
9701,0.269437,35000000.0,25224242.0,North Country,126,2005-02-12,63,6.8,2005,39079715.1379072,28164462.626560997
15624,0.40176799999999996,450000.0,973525.0,Conversations with Other Women,84,2005-09-02,14,6.3,2005,502453.48034452205,1087002.27656089
7870,0.25238299999999997,8000000.0,852872.0,Down in the Valley,112,2005-05-13,33,5.8,2005,8932506.31723595,952285.565974207
23478,0.246144,12000000.0,84967.0,Mozart and the Whale,92,2005-09-10,22,6.8,2005,13398759.4758539,94871.0330320733
13341,0.242227,30000000.0,34252847.0,Bad News Bears,113,2005-07-22,34,5.5,2005,33496898.689634804,38245471.526352
17880,0.19861099999999998,14000000.0,32645546.0,Because of Winn-Dixie,106,2005-02-18,35,6.1,2005,15631886.0551629,36450818.2343271
9787,0.195984,25000000.0,13411957.0,Lords of Dogtown,107,2005-06-03,118,6.9,2005,27914082.2413623,14975298.8286246
16608,0.19117699999999999,2000000.0,5048693.0,The Proposition,104,2005-10-06,103,7.0,2005,2233126.57930898,5637185.26453561
9700,0.183927,9600000.0,4386236.0,The Lost City,144,2005-09-03,13,6.4,2005,10719007.5806831,4897510.09736096
9009,0.177398,30000000.0,25473093.0,Dark Water,105,2005-06-27,113,5.2,2005,33496898.689634804,28442320.517754804
292,0.15144200000000002,3000000.0,11718595.0,Dave Chappelle's Block Party,100,2005-09-12,15,7.0,2005,3349689.86896348,13084552.983328698
24618,0.149319,14000000.0,6856989.0,Bee Season,104,2005-09-03,10,5.1,2005,15631886.0551629,7656262.19496467
49081,0.14193699999999898,8000000.0,2019009.0,Maurice Richard,124,2005-10-25,10,5.5,2005,8932506.31723595,2254351.33088203
868,0.075624,3000000.0,9879971.0,Tsotsi,94,2005-08-18,42,6.8,2005,3349689.86896348,11031612.921450999
834,5.838503,50000000.0,111340801.0,Underworld: Evolution,106,2006-01-12,1015,6.3,2006,54083457.9145786,120433910.50117901
58,4.205992,200000000.0,1065659812.0,Pirates of the Caribbean: Dead Man's Chest,151,2006-06-20,3181,6.8,2006,216333831.658314,1152691351.87119
920,3.941265,120000000.0,461983149.0,Cars,117,2006-06-08,2336,6.4,2006,129800298.994988,499712923.92372
36557,3.7895800000000004,150000000.0,599045960.0,Casino Royale,144,2006-11-14,2738,7.1,2006,162250373.74373502,647969539.331167
591,3.655536,125000000.0,758239851.0,The Da Vinci Code,149,2006-05-17,1585,6.4,2006,135208644.786446,820164661.414297
9762,3.206696,12000000.0,114194847.0,Step Up,104,2006-08-11,619,6.7,2006,12980029.8994988,123521044.035724
950,3.145562,80000000.0,660940780.0,Ice Age: The Meltdown,91,2006-03-23,1775,6.4,2006,86533532.66332579,714919257.183175
956,3.098051,150000000.0,397850012.0,Mission: Impossible III,126,2006-05-03,1363,6.3,2006,162250373.74373502,430342087.606332
350,3.03143,35000000.0,326551094.0,The Devil Wears Prada,109,2006-06-30,1773,7.0,2006,37858420.540205,353220246.986172
1422,2.81975,90000000.0,289847354.0,The Departed,151,2006-10-05,2635,7.7,2006,97350224.24624151,313518943.434219
1581,2.606305,85000000.0,194168700.0,The Holiday,136,2006-12-08,748,6.7,2006,91941878.45478371,210026294.295568
1124,2.5820950000000003,40000000.0,109676311.0,The Prestige,130,2006-10-19,2519,7.8,2006,43266766.33166289,118633483.003894
1593,2.313345,110000000.0,574480841.0,Night at the Museum,108,2006-10-20,1572,6.2,2006,118983607.412073,621398207.739104
1164,2.160936,25000000.0,135330182.0,Babel,143,2006-09-08,606,6.7,2006,27041728.9572893,146382484.05538502
9693,2.1083689999999997,76000000.0,69959751.0,Children of Men,109,2006-09-22,1211,7.3,2006,82206856.0301595,75673304.978458
1452,1.9573310000000002,270000000.0,391081192.0,Superman Returns,154,2006-06-28,834,5.3,2006,292050672.73872405,423020463.774305
496,1.9307349999999999,18000000.0,261572744.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,82,2006-11-02,979,6.4,2006,19470044.8492483,282935169.83449703
9339,1.8887459999999998,82500000.0,237681299.0,Click,107,2006-06-22,1273,5.9,2006,89237705.5590547,257092530.630977
9767,1.76935,52000000.0,204999686.0,The Break-Up,106,2006-06-01,520,5.5,2006,56246796.231161706,221741837.80565602
388,1.7472560000000001,45000000.0,184376254.0,Inside Man,129,2006-03-23,990,7.2,2006,48675112.1231207,199434107.473133
7518,1.6152440000000001,80000000.0,155019340.0,Over the Hedge,83,2006-04-22,617,6.2,2006,86533532.66332579,167679639.016715
1427,1.6128,50000000.0,132180323.0,Perfume: The Story of a Murderer,147,2006-09-13,647,7.0,2006,54083457.9145786,142975378.722118
